Who I am,,Who I am not,,I'm not sure - I would like to be...,,,,Examples,LIke it or not?,What tools using?,
Professional,,"Ass-covering language, risk-first",https://psychedelictherapyca.com/psychedelic-integration-therapy,Friendly,,,,https://www.wholepersonintegration.com/,A little busy but modern,Squarespace,
"Earthy, down-to-earth",,Boring,https://www.mcilwainmentoring.net/,Challenging,https://pauljozsef.ca/psychedelic-integration-counselling-montreal/,,,https://pauljozsef.ca/psychedelic-integration-counselling-montreal/,"Clean, not cozy",Wordpress,
Caring,,"""Clinical""",,Powerful,https://manuelamischkereeds.com/,,,https://www.strengthinheart.ca/psychedelic-integration,"Nice header img, meh organization below",Squarespace,
Warm,,"Cheery, chipper, perky",https://www.psychedelicintegrationcoach.com/,Embodied,https://manuelamischkereeds.com/,,,https://drgregorywells.com/,"Blocky, v bad",Wordpress,
"Practical, pragmatic",,"Aggressive marketing, in-your-face",NO FUCKING POPUPS!!!!!!!!!!!!!!!,Prominent,https://manuelamischkereeds.com/,,,,,,
"Weird, also thoughtful",https://www.terrancewolf.com/,"Confrontational, pushy, know what's best for you",,Influential,https://manuelamischkereeds.com/,,,https://arbutuscounselling.ca/,Bit dated,GoDaddy,
Spacious,https://pauljozsef.ca/psychedelic-integration-counselling-montreal/,Inspirational,https://beingtruetoyou.com/,Pioneer,https://manuelamischkereeds.com/,,,https://www.magdalenaweinstein.com/,"Weird colors, blocky",Squarespace,
Straightforward,,"""Spiritual""",,Wise,,,,,,,
Nonjudgmental / judgment-free,https://pauljozsef.ca/psychedelic-integration-counselling-montreal/,"Anti-oppressive, feminist, woke, social justice, ""late-stage capitalism""",https://sarahkathleenwilson.com/,Mindful,,,,https://www.innerfocustherapy.com.au/,Cozy but a little clunky,Squarespace,
Trauma-informed,,Guru,,Expert,,,,,,,
Collaborative,,Whimiscal,,Reliable,,,,https://www.terrancewolf.com/,"wild, old web",----,
Grounded,,"""Miracles""",,,,,,,,,
(Good fit for nerodivergent folks),,Surreal,https://www.kimiyahealing.co.uk/,,,,,https://www.alisoncrosthwait.com/offerings,"Instagram, med well done",Squarespace,
Nerdy,,"Hyperbolic, a lot of exclamation marks",https://www.kimiyahealing.co.uk/,,,,,https://www.entheogencoaching.com/,Sort of bad,Wix,
Whatever Acme Klein is - playful + sincere,https://www.kleinbottle.com/why_acme.htm,"Blessings, Spirit, True Self, Soul, Great Mystery",https://www.evamedicina.com/,,,,,,,,
Walk beside you,https://integration.maps.org/lisa-shields/,BUSINESS BUSINESS BUSINESS GROWTH CAREER HYPE,,,,,,,,,
Compassionate,https://integration.maps.org/lisa-shields/,Overly serious,,,,,,,,,
"Critical thinking, analysis, understanding",https://integration.maps.org/lisa-shields/,Divine Feminine,,,,,,https://www.carmenspagnola.com/about-carmen,"photos, a little blocky",Squarespace,
"Reflective understanding, empathetic mirror",,Lunar wisdom,https://www.evamedicina.com/copy-of-initiation,,,,,,,,
Believer in resilience,https://manuelamischkereeds.com/,"Casual, informal (""Awesome! I'm into it!"")",https://tamintegration.com/psychedelic-integration-coaching/,,,,,,,,
Brilliant,https://manuelamischkereeds.com/,Licensed,,,,,,https://www.mindaheadcounselling.com/counselling,,Squarespace,
Metarational,,Instagram bland,https://jennastarkey.com/,,,,,https://stephsoussloff.notion.site/Coaching-with-Steph-accepting-new-clients-15ad32bdfd9942c6b142f3e2f8eafa4b,,Notion,
Presence,My presence is like a beautiful soup,,,,,,,,,,
Competent,,,,,,,,well done design,,,
Attuning,https://www.attunedcounselling.com/home,,,,,,,https://intothewildtherapy.com/,Lovely!!,Custom designer,"Chuck, up island, telegram"
,,,,,,,,https://www.rawproject.org/,very well integrated colorful instasgram,Wix,
,,,,,,,,https://jennastarkey.com/,"very tasteful instagram pastels, v coherent",Squarespace,
,,,,,,,,https://manuelamischkereeds.com/,Well done ,Wordpress,
oh my god I want website copy that blends Acme Klein + David Chapman -- 100% certified non-monist!,,,,,,,,https://www.lifeworthlovingcoaching.com/,Tasteful photo forward,Wix,
^that is mostly a joke,,,,,,,,https://www.cedarmathias.com/,Tasteful photo forward,Squarespace,
,,,,,,,,https://www.drkatherinecoder.com/,Well done instagram,Squarespace,
,,,,,,,,https://holtonhealingarts.com/,"very instagram, colorful photo forward",Wordpress,
,,,,,,,,https://www.robyndickson.com/,"Photo forward, tasteful",Wix,
,,,,,,,,https://lisashieldsphd.com/,"Photo forward, well done",Wordpress,
,,,,,,,,https://tamintegration.com/psychedelic-integration-coaching/,"Modern, fairly clean & navigable",Wordpress + Woocommerce,
,,,,,,,,https://www.dustindiperna.org/,"b&w photo forward, tasteful",Wix,
,,,,,,,,https://www.matthewcavanna.com/,"simple tan background, mtn sunset full width",,
,,,,,,,,https://bexnaj.yoga/,oh my GOD such good colors!!!!!,Squarespace,
,,,,,,,,https://www.sashachapin.com/coaching-info,,,
,,,,,,,,https://www.willbamberg.com/,the design is minimal but I really like the organization,,See also this diagram!
,,,,,,,,https://fractalbootcamp.com/,I really like the scrolly thing in the lower right,,
,,,,,,,,,,,
,,,,,,,,I really like Lauren Uba's bio: Clergy of the In-Between  }{ Warden of Precious Spaces,,,
,,,,,,,,https://www.corequest.ca/,,,
,,,,,,,,https://www.samek.life/,"Samek's site looks great on mobile; I would want a different color scheme, and I'd put the call to action more prominently, but it's great that he got it done so quickly!",Claude Code,
